#{"t_start": 1757611876.3384564, "env_id": "None"}
r,l,t
-70.0,5,8.060278
-70.0,5,8.067201
-70.0,5,8.072334
-70.0,5,8.07688
-70.0,5,8.081396
-70.0,5,8.088067
-70.0,5,8.09298
-70.0,5,8.098468
-70.0,5,8.103348
-70.0,5,8.109884
-70.0,5,8.114271
-70.0,5,8.118664
-70.0,5,8.123219
-70.0,5,8.129373
-70.0,5,8.133682
-70.0,5,8.138301
-70.0,5,8.142741
-70.0,5,8.151137
-70.0,5,8.155888
-70.0,5,8.160284
-70.0,5,8.164675
-70.0,5,8.171206
-70.0,5,8.175614
-95.0,5,8.179713
-70.0,5,8.183796
-70.0,5,8.190235
-70.0,5,8.194988
-70.0,5,8.201418
-70.0,5,8.206434
-70.0,5,8.21282
-70.0,5,8.217219
-70.0,5,8.221258
-70.0,5,8.225337
-70.0,5,8.231532
-70.0,5,8.23598
-70.0,5,8.240587
-70.0,5,8.244685
-70.0,5,8.253229
-95.0,5,8.257709
-70.0,5,8.262347
